file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS0090_0205_1445385_to_1450482,མི་ཉོ་མཁན་དང་། ཟ་གར་ཡོང་མཁན་ཟ་ཁ་ལག་ཟ་རུ་ཡོང་མཁན་དང་དེ་ཚོ་ཚང་མ་ལ་ག་ལབ་དགོས་རེད་ང་ཚོ་གིས་ ,mi nyo mkhan dang /_za gar yong mkhan za kha lag za ru yong mkhan dang de tsho tshang ma la ga lab dgos red nga tsho gis _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0090_0205_1445385_to_1450482.wav,STT_NS,3,88,5.097,wav16k/STT_NS0090_0205_1445385_to_1450482.wav,མི་ཉོ་མཁན་དང་། ཟ་ག་ཡོང་མཁན་ཟ།་ཁ་ལག་ཟ་རུ་ཡོང་མཁན་དང་དེ་ཚོ་ཚང་མ་ལ་ག་རེ་ལབ་དགོས་རེད་ ང་ཚོ་གིས་
STT_TT00530_0545_3097040_to_3099728,ཨོ། རིན་ཆེན་ཆེན་པོ་ཁ་དོག་ལྔ་ཟེ། ཁ་དོག་ལྔ་ག་རེ་ཟེར་ན།  ,o/_rin chen chen po kha dog lnga ze/_kha dog lnga ga re zer na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00530_0545_3097040_to_3099728.wav,STT_TT,3,54,2.688,wav16k/STT_TT00530_0545_3097040_to_3099728.wav,ཨོ། རིན་ཆེན་ཆེན་པོ་ཁ་དོག་ལྔ་ཟེ། ཁ་དོག་ལྔ་ག་རེད་ཟེར་ན།
STT_TT00657_0384_3412193_to_3414369,རང་རྒྱུད་འདུལ་བ་རྒྱལ་སྲས་ལག་ལེན་ཡིན། ཟེ།  ,rang rgyud 'dul ba rgyal sras lag len yin/_ze/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00657_0384_3412193_to_3414369.wav,STT_TT,3,42,2.176,wav16k/STT_TT00657_0384_3412193_to_3414369.wav,རང་རྒྱུད་བའདུ་བ་རྒྱལ་སྲས་ལག་ལེན་ཡིན་ཟེ།
STT_TT00675_0085_807527_to_810343,རང་གི་གྲོངས་སུ་གྱུར་པའི་འདོད་པ་དང་མཚུངས་པར་ལྡན་པའི།  ,rang gi grongs su gyur pa'i 'dod pa dang mtshungs par ldan pa'i/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00675_0085_807527_to_810343.wav,STT_TT,3,53,2.816,wav16k/STT_TT00675_0085_807527_to_810343.wav,རང་གི་གྲོགས་སུ་གྱུར་པའི་འདོད་པ་དང་མཚུངས་པར་ལྡན་པའི།
STT_NS_M0231_0275_1516970_to_1519467,གཟབ་གཟབ་བྱེད་དགོས་ཡ་གལ་ཆེན་པོ་རེད་རཱ། གཤིས་ཀ་དེ་ཚོ་དམིགས་སུ།  ,gzab gzab byed dgos ya gal chen po red rA/_gshis ka de tsho dmigs su/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0231_0275_1516970_to_1519467.wav,STT_NS,3,62,2.497,wav16k/STT_NS_M0231_0275_1516970_to_1519467.wav,གཟབ་གཟབ་བྱེད་དགོས་ཡ་གལ་ཆེན་པོ་རེད་རཱ། གཤིས་ཀ་དེ་ཚོ་དམིགས་སུ།
STT_NS_M0229_0133_1208620_to_1210664,མང་པོ་ཅིག་བསགས་བཞག་ཡོད་དུས་ཙམ་པ། དེ་ཚོ་ཚང་མ།  ,mang po cig bsags bzhag yod dus tsam pa/_de tsho tshang ma/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0229_0133_1208620_to_1210664.wav,STT_NS,3,46,2.044,wav16k/STT_NS_M0229_0133_1208620_to_1210664.wav,མང་པོ་ཅིག་བསགས་བཞག་ཡོང་དུས་ཙམ་པ་དེ་ཚོ་ཚང་མ།
STT_TT00667_0067_705298_to_711220,ཨང་། ཁ་སང་ངས། ཨ། ཡ་གི། འཆི་བ་མི་རྟག་པ་ཁ་ཐུག་ལ། མ་ཞུས་པ་ཅིག ,ang /_kha sang ngas/_a/_ya gi/_'chi ba mi rtag pa kha thug la/_ma zhus pa cig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00667_0067_705298_to_711220.wav,STT_TT,3,59,5.922,wav16k/STT_TT00667_0067_705298_to_711220.wav,ཨ། ཁ་སང་ངས། ཨ། ཡ་གི་འཆི་བ་མི་རྟག་པ་ཁ་ཐོག་ལ་ མ་ཞུས་པ་ཅིག
STT_TT00217_01111.050-01115.100,མི་མང་པོ་མཉམ་དུ་ཤུགས་བརྒྱབ་ན་མ་གཏོགས་ལས་གསག་རྒྱུ་མེད་པའི་ཟོལ་འདྲ། དེ་འདྲའི་རྩ་བ་ཉིད་ནས་མ་རེད་ད།  ,mi mang po mnyam du shugs brgyab na ma gtogs las gsag rgyu med pa'i zol 'dra/_de 'dra'i rtsa ba nyid nas ma red da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00217_01111.050-01115.100.wav,STT_TT,3,97,4.0499999999999545,wav16k/STT_TT00217_01111.050-01115.100.wav,མི་མང་པོ་མཉམ་དུ་ཤུགས་བརྒྱབ་ན་མ་གཏོགས། ལས་བསགས་རྒྱུ་མེད་པའི་ཟོལ་འདྲ། དེ་འདྲ་རྩ་བ་ཉིད་ནས་མ་རེད་དཱ།
STT_TT00663_0221_1960243_to_1962707,དེ་ནས་ཕར་མུ་མཐུད་ནས། ག་འདྲའི་སེ་བྱས་ནས་བཀའ་དྲིན་བསྐྱངས་སོང་།  ,de nas phar mu mthud nas/_ga 'dra'i se byas nas bka' drin bskyangs song /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00663_0221_1960243_to_1962707.wav,STT_TT,3,62,2.464,wav16k/STT_TT00663_0221_1960243_to_1962707.wav,དེ་ནས་ཕར་མུ་མཐུད་ནས། ག་འདྲའི་སེ་བྱས་ནས་ བཀའ་དྲིན་བསྐྱངས་སོང་།
STT_TT00509_0682_5606885_to_5610110,ཕལ་ཆེར་དུས་འཁོར་བསྡུས་བརྗོད་ཀི་སྤྱི་དོན་ ,phal cher dus 'khor bsdus brjod ki spyi don _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00509_0682_5606885_to_5610110.wav,STT_TT,3,41,3.225,wav16k/STT_TT00509_0682_5606885_to_5610110.wav,ཕལ་ཆེར་དུས་འཁོར་བསྡུས་བྒྱོད་ཀི་སྤྱི་དོན།
